?cls	?xref
<http://purl.obolibrary.org/obo/UBERON_0000174>	"GO:0007588"
<http://purl.obolibrary.org/obo/UBERON_0000174>	"ENVO:02000022"
<http://purl.obolibrary.org/obo/UBERON_0000174>	"EHDAA2_RETIRED:0003184"
<http://purl.obolibrary.org/obo/UBERON_0000174>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0000174>	"BTO:0000491"
<http://purl.obolibrary.org/obo/UBERON_0000174>	"galen:Excretion"
<http://purl.obolibrary.org/obo/UBERON_0000174>	"FMA:9674"
<http://purl.obolibrary.org/obo/UBERON_0000174>	"AEO:0000184"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"XAO:0000153"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"MESH:D014521"
<http://purl.obolibrary.org/obo/UBERON_0000057>	<http://www.snomedbrowser.com/Codes/Details/302513006>
<http://purl.obolibrary.org/obo/UBERON_0000057>	"CALOHA:TS-1132"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"MIAA:0000121"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"MP:0000537"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"EFO:0000931"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"GAID:390"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"EMAPA:30901"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"UMLS:C0041967"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"NCIT:C12417"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"BTO:0001426"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"OpenCyc:Mx4rvVjkypwpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"MA:0000379"
<http://purl.obolibrary.org/obo/UBERON_0000057>	<http://linkedlifedata.com/resource/umls/id/C0041967>
<http://purl.obolibrary.org/obo/UBERON_0000057>	"VHOG:0001264"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"FMA:19667"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"MAT:0000121"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"MGI:anna"
<http://purl.obolibrary.org/obo/UBERON_0000057>	<http://en.wikipedia.org/wiki/Urethra>
<http://purl.obolibrary.org/obo/UBERON_0000057>	"EV:0100099"
<http://purl.obolibrary.org/obo/UBERON_0000057>	"galen:Urethra"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"ENVO:02000036"
<http://purl.obolibrary.org/obo/UBERON_0001836>	<http://en.wikipedia.org/wiki/Saliva>
<http://purl.obolibrary.org/obo/UBERON_0001836>	"GAID:1167"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"OpenCyc:Mx4rvVjJ95wpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"MESH:D012463"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"galen:Saliva"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"CALOHA:TS-0891"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"MAT:0000444"
<http://purl.obolibrary.org/obo/UBERON_0001836>	<http://linkedlifedata.com/resource/umls/id/C0036087>
<http://purl.obolibrary.org/obo/UBERON_0001836>	"BTO:0001202"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"FMA:59862"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"UMLS:C0036087"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"NCIT:C13275"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"EMAPA:36536"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"GO:0046541"
<http://purl.obolibrary.org/obo/UBERON_0001836>	"MA:0002507"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"CALOHA:TS-1172"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"FMA:62971"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"BTO:0000121"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"ZFA:0005857"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"MA:0002513"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"MESH:D001646"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"UMLS:C0005388"
<http://purl.obolibrary.org/obo/UBERON_0001970>	<http://en.wikipedia.org/wiki/Bile>
<http://purl.obolibrary.org/obo/UBERON_0001970>	"NCIT:C13192"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"GAID:1157"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"ENVO:02000023"
<http://purl.obolibrary.org/obo/UBERON_0001970>	"galen:Bile"
<http://purl.obolibrary.org/obo/UBERON_0001970>	<http://linkedlifedata.com/resource/umls/id/C0005388>
<http://purl.obolibrary.org/obo/UBERON_0001970>	<https://doi.org/10.1002/cphy.c120027>
<http://purl.obolibrary.org/obo/UBERON_0001969>	"GAID:1178"
<http://purl.obolibrary.org/obo/UBERON_0001969>	<http://orcid.org/0000-0002-6601-2165>
<http://purl.obolibrary.org/obo/UBERON_0001969>	<http://linkedlifedata.com/resource/umls/id/C0032105>
<http://purl.obolibrary.org/obo/UBERON_0001969>	"MIAA:0000052"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"MESH:D010949"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"EMAPA:35690"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"CALOHA:TS-0800"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"FMA:62970"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"MAT:0000052"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"OpenCyc:Mx4rEg4ZYrIbEduAAAAOpmP6tw"
<http://purl.obolibrary.org/obo/UBERON_0001969>	<http://en.wikipedia.org/wiki/Blood_plasma>
<http://purl.obolibrary.org/obo/UBERON_0001969>	"NCIT:C13356"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"UMLS:C0032105"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"EFO:0001905"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"BTO:0000131"
<http://purl.obolibrary.org/obo/UBERON_0001969>	"MA:0002501"
<http://purl.obolibrary.org/obo/UBERON_0001690>	<http://linkedlifedata.com/resource/umls/id/C0521421>
<http://purl.obolibrary.org/obo/UBERON_0001690>	"MAT:0000138"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"EV:0100353"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"galen:Ear"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"MA:0000236"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"UMLS:C0013443"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"EMAPA:16193"
<http://purl.obolibrary.org/obo/UBERON_0001690>	<http://en.wikipedia.org/wiki/Ear>
<http://purl.obolibrary.org/obo/UBERON_0001690>	"EHDAA:502"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"OpenCyc:Mx4rvVjL05wpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"OpenCyc:Mx4rvViXS5wpEbGdrcN5Y29ycA"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"MIAA:0000138"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"UMLS:C0521421"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"EFO:0000826"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"BTO:0000368"
<http://purl.obolibrary.org/obo/UBERON_0001690>	<http://www.snomedbrowser.com/Codes/Details/1910005>
<http://purl.obolibrary.org/obo/UBERON_0001690>	"XAO:0000189"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"CALOHA:TS-1165"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"VHOG:0000330"
<http://purl.obolibrary.org/obo/UBERON_0001690>	"NCIT:C12394"
